nPixels,averageFastTimes,averageLargeTimes,stdFastTimes,stdLargeTimes,averageFastMemory,averageLargeMemory,stdFastMemory,stdLargeMemory
625.0,0.16011887501614788,0.31602929159998894,0.012364197538432788,0.01832490999367664,6.269890149434407,3.8447370529174805,0.053727228999343304,0.00028997031775495095
12321.0,0.3830295829878499,1.3308145417055737,0.035392067792796446,0.017691256703985716,51.28822422027588,4.201470692952474,0.11694435480099553,7.193062145859248e-06
38809.0,0.6789312083274126,2.1144408469554037,0.012611540984993478,0.008554581288823531,153.30022780100504,5.1807301839192705,0.34315177316397716,7.193062145859248e-06
80089.0,1.5669074864126742,3.60018283353808,0.3334664773346679,0.11196504850356565,314.0373430252075,8.645085652669271,0.6958060309890185,7.193062145859248e-06
136161.0,2.2905617364061377,5.5389520693570375,0.21988088983935877,0.22391024668729748,532.5516735712687,13.350835164388021,1.1747596705021295,7.193062145859248e-06
207025.0,3.999342569305251,9.210365292072916,0.18634917167772833,0.06721684401610784,808.7108888626099,19.29797871907552,1.780063043138331,7.193062145859248e-06
292681.0,5.4503358889681595,11.656187638640404,0.2842103139820243,0.07187088924654307,1142.514988899231,26.48651631673177,2.5117161488976234,7.193062145859248e-06
393129.0,7.135119722069551,15.087015805765986,0.10507971378676428,0.018662606510995466,1533.963973681132,34.91644795735677,3.369718987780006,7.193062145859248e-06
508369.0,96.22799708329451,19.269778416802485,112.17167298010551,0.08503629611213628,1983.057843208313,44.58777364095052,4.3540715597854796,7.193062145859248e-06
640000.0,126.24663975004417,23.995341958400484,153.73269778446127,0.19905966722817675,2496.0279502868652,55.63468678792318,5.478432141229878,7.193062145859248e-06
